NOME;CPF;MATRICULA;LIMCRED;BLOQUEADO
ADRIANO MARTINS MELO;25347083760;;283;0
JOAO AMARAL FREITAS;63403755452;;710;0
SERGIO FONSECA SANTOS;36615123401;;879;0
BENEDITA SOUSA FIGUEIREDO;18869812642;;271;0
LUCAS AMARAL COSTA;59378120695;;127;0
SIMONE BASTOS BRAGA;02287400109;;453;0
LUCAS SOUZA MONTEIRO;81153769301;;124;0
SOLANGE LOPES LEITE;41886183538;;663;1
PRISCILA PINTO RODRIGUES;79302922316;;508;0
ADRIANO VIEIRA MEDEIROS;05039522061;;329;0
ANDERSON LUZ ALVES;52496298145;;742;0
IRENE SOUZA CUNHA;46449987618;;246;0
ANDRE MACHADO MONTEIRO;65759873709;;181;0
HELOISA SOUSA VASCONCELOS;26841528611;;626;0
BENEDITA PINTO SILVA;57568023800;;321;0
ALEXANDRE MEDEIROS MEDEIROS;62630353664;;117;0
AMANDA FERREIRA CAVALCANTI;66434590105;;375;0
NATALIA SOUZA MORAES;96020901971;;412;0
BIANCA ALMEIDA ANDRADE;55676274328;;71;0
DENISE LEITE NOGUEIRA;57228269365;;769;0
JULIANA VASCONCELOS ROCHA;27901738502;;889;0
FERNANDA COSTA BASTOS;44602916732;;557;0
GISELE LOPES LUZ;03905476118;;673;0
FLAVIA ANDRADE DUARTE;97333293203;;923;0
MARTA CAVALCANTI FIGUEIREDO;01348911476;;703;0
CARLA CAVALCANTI SOUSA;22352274737;;868;0
BIANCA SOUSA MACHADO;05552267788;;275;0
DENISE TEIXEIRA MORAES;94241851460;;628;1
SOLANGE ALVES BASTOS;51759112445;;234;0
CARLOS RIBEIRO ROCHA;20422659428;;471;0
MARIA XAVIER BASTOS;94616486859;;670;0
DIEGO CUNHA RODRIGUES;95502231402;;831;0
LUCIA CORREIA RAMOS;44648751906;;54;0
RAFAEL BASTOS FERREIRA;97915581910;;828;0
ROBERTO VASCONCELOS CUNHA;29673219400;;75;0
CARLOS FONSECA FONSECA;68594994001;;248;0
SUELI MARQUES LEITE;13264926750;;823;0
BRUNA RAMOS SANTOS;76040144378;;147;0
PAULO RAMOS DE PAULA;08904816440;;770;0
GABRIEL MOREIRA SOUSA;07342856711;;483;0
TEREZA MARTINS ALMEIDA;00560137109;;595;0
MARTA MELO CUNHA;49237819714;;893;0
FABIO MELO AZEVEDO;10835421929;;695;0
GIOVANNA FREITAS XAVIER;59726633095;;839;0
ANDRE MORAES RIBEIRO;81187357022;;588;0
FERNANDA RAMOS SOUSA;46034571383;;926;0
EDUARDO TEIXEIRA SILVA;49969318330;;483;0
ANDERSON SOUSA SANTOS;61242971831;;360;1
NATHALIA NASCIMENTO AMARAL;08377459779;1101;897;0
RAFAEL ROCHA MELO;85411618622;1102;129;0
BENEDITA LEITE MARQUES;80310719933;1103;390;0
CLAUDIA MOREIRA VASCONCELOS;79884264198;1104;326;0
GIOVANNA GUERRA FERNANDES;81979410259;1105;494;0
CARLOS VASCONCELOS LIMA;29086309070;1106;528;0
CAROLINA RAMOS CAMPOS;90725007842;1107;455;0
FELIPE OLIVEIRA MELO;11709090944;1108;599;0
ALICE MONTEIRO NASCIMENTO;54425234618;1109;504;0
GABRIEL FIGUEIREDO MEDEIROS;50232367221;1110;538;0
MARCIA CORREIA SOUSA;03267141702;1111;447;0
RENATO CARDOSO BORGES;81370510748;1112;191;0
VANESSA LUZ MACHADO;42108509267;1113;541;0
MATEUS MELO LOPES;03159199576;1114;346;0
FERNANDO LOPES DANTAS;29176270696;1115;284;0
SILVANA CORREIA MACHADO;91304279324;1116;928;0
GISELE VASCONCELOS CUNHA;96983640640;1117;74;0
JOAO ARAUJO ANDRADE;52691895777;1118;215;0
TAMIRES BARBOSA PINTO;82476375454;1119;736;0
LETICIA PIRES TEIXEIRA;45619861384;1120;863;1
ROBERTO CUNHA BORGES;70721707580;1121;945;0
ROSANGELA MONTEIRO PIRES;05054865128;1122;837;0
ROBERTO ALVES DE PAULA;30752063006;1123;255;0
MARCOS CARVALHO BRAGA;24270270306;1124;726;0
ALEXANDRE CARDOSO PINTO;87286695258;1125;403;0
CARLOS CARVALHO NASCIMENTO;01926526309;1126;427;0
ELISABETE MEDEIROS FERNANDES;69464837667;1127;50;0
NEUSA SOUSA RAMOS;89082469839;1128;513;0
PAULO COSTA SANTOS;94666218076;1129;266;0
LEANDRO MARTINS GOMES;20268835136;1130;103;0
BEATRIZ MONTEIRO PIRES;32185952153;1131;218;0
CAROLINA FIGUEIREDO CARVALHO;54250723763;1132;286;0
GIOVANNA PAIVA MARTINS;98075437624;1133;721;0
LARISSA ROCHA BORGES;43431680500;1134;781;0
SUELI CARDOSO MARQUES;70570431638;1135;147;0
FERNANDA MACHADO RIBEIRO;76590342512;1136;845;0
VANESSA MOREIRA CORREIA;15671436109;1137;64;0
MONICA MELO CAVALCANTI;99603813664;1138;75;0
SANDRA BRAGA CORREIA;96361583201;1139;139;0
LEANDRO NUNES MENDES;92997421896;1140;237;1
APARECIDA FERNANDES SOUZA;75478862487;1141;860;0
EDUARDO COSTA COSTA;70827121547;1142;932;0
BENEDITA MORAES CAMPOS;46313508904;1143;778;0
BIANCA PEREIRA CAVALCANTI;79602264071;1144;837;0
NEUSA LIMA MORAES;29531288755;1145;449;0
ROSANGELA LOPES ROCHA;21738295214;1146;212;0
ROSANGELA DIAS CORREIA;17989584654;1147;668;0
ALINE LIMA NUNES;48908130047;1148;572;0
GIOVANNA RODRIGUES ANDRADE;62763287662;1149;214;0
MATEUS VIEIRA ALVES;53250561746;1150;145;0
LARISSA MENDES CUNHA;57259036052;1151;837;0
ALEXANDRE DE PAULA CAMPOS;24792456916;1152;542;0
FABIO DUARTE FIGUEIREDO;62171887087;1153;811;0
CRISTIANE NUNES AMARAL;36373066380;1154;287;0
APARECIDA CAMPOS AZEVEDO;65985839770;1155;111;0
SOLANGE NUNES OLIVEIRA;63709662150;1156;68;0
BENEDITA FERREIRA ALMEIDA;43103452802;1157;845;0
MARTA SILVA CAVALCANTI;60024785903;1158;339;0
FERNANDA DIAS MARTINS;58110237746;1159;89;0
PRISCILA MEDEIROS CARVALHO;73040446754;1160;103;1
GIOVANNA PAIVA LUZ;36596882586;1161;642;0
MARCELO VASCONCELOS FERREIRA;44119877833;1162;158;0
TATIANA MARQUES SANTOS;28368146917;1163;505;0
CAMILA CORREIA SOUZA;28016309500;1164;473;0
ANDRE NOGUEIRA RODRIGUES;41521677344;1165;365;0
ELIANE MELO CARDOSO;83337321780;1166;126;0
AMANDA DANTAS MOREIRA;44143230887;1167;596;0
AMANDA NOGUEIRA PIRES;94106221748;1168;783;0
SOLANGE RIBEIRO ROCHA;94884133013;1169;105;0
CRISTIANE MOTA DANTAS;26229388960;1170;786;0
GISELE SILVA DUARTE;37220615124;1171;590;0
FABIO VASCONCELOS BARBOSA;87847292440;1172;829;0
ERIKA RIBEIRO MARTINS;53088459562;1173;506;0
NEUSA RIBEIRO BASTOS;46964154493;1174;714;0
FERNANDO ROCHA CARVALHO;80223146501;1175;912;0
PATRICIA BARBOSA FERNANDES;82755401001;1176;162;0
PEDRO MOTA FERNANDES;89158598391;1177;573;0
GABRIEL AMARAL DE PAULA;68934511486;1178;378;0
EDUARDO BORGES COSTA;42864300907;1179;57;0
RENATA MELO ROCHA;92316456251;1180;175;1
GISELE SANTOS PIRES;47154508361;1181;670;0
NATHALIA CUNHA DUARTE;77031466849;1182;176;0
TATIANA BRAGA DE PAULA;89954844031;1183;692;0
ROBERTO ANDRADE LEITE;83204952371;1184;550;0
CRISTINA FIGUEIREDO AZEVEDO;47716583239;1185;522;0
LARISSA RODRIGUES VASCONCELOS;21899636994;1186;55;0
PEDRO AZEVEDO SOUSA;46279380203;1187;668;0
KARINA PEREIRA MOTA;12385699273;1188;689;0
LUCAS PIRES DIAS;93626940934;1189;675;0
VERA XAVIER SILVA;76606333504;1190;517;0
BRUNO SOUSA COSTA;12893718302;1191;290;0
RENATA BARBOSA TEIXEIRA;61962243443;1192;394;0
RENATO RODRIGUES XAVIER;47610315907;1193;99;0
MARCOS SOUSA RIBEIRO;54883642690;1194;680;0
FABIO NOGUEIRA GOMES;17561002920;1195;269;0
APARECIDA XAVIER NOGUEIRA;26296032293;1196;348;0
ANDRE MOTA NASCIMENTO;64941667336;1197;159;0
MIRIAM SOUZA ARAUJO;95435504686;1198;389;0
ANDRE FERREIRA LOPES;04016062608;1199;539;0
EDUARDO BORGES LIMA;28097799022;1200;340;1
RAFAELA CAVALCANTI AMARAL;07078503392;1201;515;0
ELIANE FONSECA GUERRA;48633462206;1202;623;0
LEANDRO MORAES GUERRA;51264566107;1203;150;0
ALINE MARQUES BORGES;08584809309;1204;359;0
LEANDRO FERREIRA NASCIMENTO;92792537272;1205;440;0
MATEUS SOUSA CARDOSO;30426115406;1206;191;0
CARLOS COSTA SOUSA;67049595489;1207;425;0
RAFAELA ARAUJO CAVALCANTI;58771990801;1208;315;0
BENEDITA VASCONCELOS AMARAL;68169991935;1209;742;0
ANA BASTOS PIRES;81593998473;1210;536;0
MATEUS LEITE LUZ;11316248666;1211;715;0
NATALIA ANDRADE LOPES;11218719508;1212;497;0
LUCIA MORAES RODRIGUES;51362991694;1213;623;0
ANA MACHADO MACHADO;53205989120;1214;866;0
KARINA CAMPOS ANDRADE;20749301007;1215;239;0
CRISTIANE NASCIMENTO SANTOS;36279342026;1216;467;0
SILVANA LIMA PINTO;79295068270;1217;53;0
MARIANA CARVALHO ALVES;01939713560;1218;882;0
BENEDITA DE PAULA SILVA;10378935305;1219;826;0
DEBORA VIEIRA FREITAS;73965084607;1220;191;1
GABRIEL GOMES LOPES;15255034991;1221;624;0
CLAUDIA FERNANDES DE PAULA;00522918204;1222;154;0
DIEGO MOTA MOREIRA;35448177808;1223;52;0
VERA FIGUEIREDO MELO;48415354622;1224;809;0
MARIA PINTO NOGUEIRA;14038409031;1225;172;0
BIANCA CAMPOS RAMOS;87239864766;1226;72;0
PAULO GOMES MARQUES;87690207448;1227;197;0
JOAO DE PAULA ANDRADE;54641212180;1228;620;0
BENEDITA CARVALHO TEIXEIRA;61002114594;1229;83;0
LUCIA FERREIRA ALVES;24933852170;1230;76;0
ANDRE CUNHA GOMES;85173158476;1231;717;0
MARCELO AZEVEDO CAVALCANTI;05686619158;1232;632;0
LUCIA VIEIRA ALVES;35578825869;1233;788;0
RAFAEL MEDEIROS LOPES;63208756070;1234;53;0
ANA FERNANDES DE PAULA;46256011260;1235;647;0
RODRIGO NASCIMENTO CAVALCANTI;78412638646;1236;416;0
ELISABETE ANDRADE VASCONCELOS;05735145690;1237;346;0
FLAVIA NUNES FIGUEIREDO;85589281695;1238;932;0
CRISTIANE MARQUES DIAS;67576359412;1239;918;0
CAMILA NUNES BORGES;33869072709;1240;822;1
VERA LEITE NUNES;56027666773;1241;816;0
CAROLINA GOMES MARQUES;33626138704;1242;888;0
FERNANDA FERNANDES LIMA;58118765563;1243;479;0
GISELE VIEIRA SOUSA;23052209957;1244;522;0
TAMIRES BARBOSA CORREIA;42453376993;1245;387;0
SOLANGE MELO PIRES;79673870586;1246;182;0
MARIANA LUZ LUZ;58955282109;1247;931;0
SOLANGE DIAS CAMPOS;01587949237;1248;445;0
ADRIANO FREITAS MOTA;00886005647;1249;488;0
CINTIA CAVALCANTI VASCONCELOS;14942170907;1250;208;0
LUCIA MARQUES RAMOS;83451091364;1251;428;0
ANDERSON OLIVEIRA XAVIER;82406077560;1252;765;0
RENATA PIRES PINTO;22605103889;1253;298;0
PAULO MARQUES MOREIRA;65029414274;1254;257;0
CLAUDIA ARAUJO BRAGA;96742013273;1255;372;0
RODRIGO MOREIRA PINTO;19690455150;1256;448;0
DIEGO PINTO AZEVEDO;25825948813;1257;893;0
CAMILA SOUSA MARQUES;13804266932;1258;474;0
FLAVIA LEITE COSTA;48383234848;1259;833;0
JESSICA GUERRA VASCONCELOS;05359855410;1260;442;1
LETICIA MACHADO CARDOSO;58820298643;1261;396;0
TEREZA CUNHA PAIVA;87707438949;1262;437;0
TEREZA GOMES CARVALHO;89944969710;1263;328;0
LIVIA AZEVEDO CUNHA;58943462158;1264;889;0
MONICA LIMA CAVALCANTI;06902591156;1265;842;0
MARIA MARQUES FERREIRA;89440984252;1266;225;0
CAROLINA VIEIRA ANDRADE;71351502360;1267;293;0
ELISABETE CARVALHO SANTOS;11288718152;1268;493;0
MARCIA ALVES ALMEIDA;93868622802;1269;420;0
TEREZA ALMEIDA PIRES;75717983530;1270;884;0
FERNANDO AMARAL LOPES;45640108673;1271;93;0
CARLOS MARQUES FIGUEIREDO;62301233634;1272;427;0
PAULO ALVES RIBEIRO;05207999842;1273;741;0
EDUARDO COSTA ANDRADE;96162291413;1274;904;0
RENATA CARDOSO MARTINS;53950312943;1275;334;0
ROSANGELA BRAGA MORAES;55127117762;1276;657;0
BRUNO NUNES CAVALCANTI;37377157690;1277;426;0
CARLOS DUARTE ARAUJO;42291051938;1278;192;0
SANDRA ALVES MEDEIROS;66710273318;1279;190;0
THIAGO CARDOSO ROCHA;72012905765;1280;352;1
ADRIANO LIMA LOPES;74461079872;1281;844;0
ERIKA NASCIMENTO RAMOS;30568540590;1282;430;0
FERNANDO LIMA CARVALHO;44421502227;1283;462;0
DENISE RAMOS CARVALHO;28069769521;1284;314;0
VERA CUNHA ARAUJO;83410933085;1285;547;0
KARINA MACHADO LIMA;68522000190;1286;927;0
BIANCA VASCONCELOS PINTO;14946263225;1287;260;0
CAMILA FERREIRA NOGUEIRA;60209435003;1288;411;0
FERNANDA DUARTE FREITAS;25722489646;1289;333;0
MILENA ANDRADE MOREIRA;18123281765;1290;805;0
ANDERSON FIGUEIREDO VIEIRA;91448900603;1291;555;0
DENISE RAMOS ROCHA;42368392963;1292;876;0
MATEUS SILVA NASCIMENTO;36140409926;1293;910;0
SILVANA NASCIMENTO PINTO;93906668215;1294;779;0
BIANCA VIEIRA LEITE;79457779452;1295;329;0
RAFAEL MENDES GOMES;51166229750;1296;169;0
JULIANA SILVA MEDEIROS;29103344738;1297;242;0
EDUARDO MARQUES ALVES;33649482240;1298;79;0
GABRIEL ARAUJO AZEVEDO;64458401670;1299;380;0
FLAVIA GUERRA MARQUES;75436337104;1300;649;1
ALINE LIMA CARVALHO;85612059892;1301;174;0
CINTIA PEREIRA PEREIRA;92648721835;1302;203;0
LEANDRO AMARAL DANTAS;24654270167;1303;779;0
FERNANDA MELO LUZ;27547969160;1304;228;0
LUCAS MEDEIROS CARVALHO;70982827156;1305;366;0
PAULO RIBEIRO RODRIGUES;51036199037;1306;764;0
JOSE GUERRA ALVES;24220657754;1307;720;0
VIVIAN CARDOSO LOPES;17955187237;1308;386;0
SERGIO LIMA RIBEIRO;11539142809;1309;518;0
SOLANGE SANTOS MOREIRA;28278754209;1310;70;0
FELIPE NOGUEIRA MARQUES;50049826352;1311;107;0
NEUSA SILVA TEIXEIRA;43935988575;1312;310;0
ROSANA FERREIRA MACHADO;20411280546;1313;257;0
SANDRA ALMEIDA BARBOSA;68127309125;1314;810;0
JOAO FONSECA GOMES;37873868583;1315;860;0
PRISCILA PEREIRA LIMA;03170593510;1316;305;0
CRISTIANE AZEVEDO BORGES;04701977659;1317;918;0
ROSANGELA NUNES MARQUES;70924832126;1318;751;0
ADRIANO CARVALHO MELO;12825069949;1319;239;0
VERA PEREIRA MONTEIRO;05975358760;1320;531;1
MATEUS BRAGA ANDRADE;86873660353;1321;140;0
IRENE FONSECA FREITAS;47173162823;1322;513;0
LETICIA MEDEIROS NUNES;42402189932;1323;639;0
AMANDA GOMES CAMPOS;84457249246;1324;216;0
BRUNA LIMA CUNHA;48374996943;1325;492;0
NATALIA MELO TEIXEIRA;90597365245;1326;520;0
BIANCA PEREIRA ALMEIDA;18160106424;1327;138;0
BEATRIZ VASCONCELOS GUERRA;03654263690;1328;809;0
MARIANA NASCIMENTO FIGUEIREDO;31424147972;1329;802;0
SANDRA SOUZA TEIXEIRA;43889343996;1330;942;0
ANDRE TEIXEIRA ALMEIDA;02201241325;1331;256;0
DENISE PEREIRA DUARTE;68877642530;1332;421;0
LEANDRO CUNHA PAIVA;63883655740;1333;290;0
MILENA RODRIGUES AMARAL;26781760025;1334;769;0
ANA ALMEIDA ARAUJO;16016075710;1335;214;0
SANDRA OLIVEIRA NUNES;20719373921;1336;59;0
NATHALIA FREITAS SANTOS;10846592800;1337;382;0
JESSICA TEIXEIRA AMARAL;89506748667;1338;811;0
ADRIANO MARQUES BORGES;33278119460;1339;512;0
MATEUS BRAGA DANTAS;30211102237;1340;416;1
ROSANGELA CAMPOS LUZ;59597830965;1341;114;0
MARTA MARTINS SANTOS;27433408940;1342;326;0
ADRIANO ALMEIDA VASCONCELOS;77121499258;1343;902;0
CLAUDIA DIAS PEREIRA;47024540990;1344;384;0
CRISTIANE NASCIMENTO NOGUEIRA;60333733754;1345;81;0
DIEGO BORGES FERREIRA;74401915798;1346;737;0
CRISTIANE TEIXEIRA FERREIRA;27682661402;1347;302;0
FABIO CARVALHO SILVA;17599624570;1348;254;0
VANESSA FIGUEIREDO TEIXEIRA;53488463419;1349;533;0
CARLOS FERREIRA DUARTE;63938516780;1350;253;0
PAULO SANTOS XAVIER;97445892729;1351;575;0
TEREZA BORGES MONTEIRO;72754213309;1352;670;0
ROSANA ALVES BASTOS;20086538624;1353;256;0
JOSE MARQUES CORREIA;88605959673;1354;208;0
ANDERSON MENDES VASCONCELOS;52916549617;1355;266;0
KARINA MOTA PEREIRA;11800454830;1356;883;0
CINTIA XAVIER XAVIER;07177607072;1357;791;0
PRISCILA FONSECA VASCONCELOS;41092855858;1358;783;0
NATHALIA FERNANDES BRAGA;22002609381;1359;744;0
DIEGO PAIVA PINTO;69564145627;1360;717;1
JESSICA CARVALHO DANTAS;08780726402;1361;821;0
CAROLINA FREITAS VASCONCELOS;61568636059;1362;590;0
CINTIA BRAGA BARBOSA;70837753201;1363;59;0
RENATO GOMES BORGES;76473183817;1364;281;0
JOSE CARDOSO GUERRA;15797731924;1365;537;0
RENATO CARVALHO DE PAULA;59369166505;1366;599;0
LEANDRO RAMOS BASTOS;11072498219;1367;557;0
PAULO NOGUEIRA PINTO;79193268262;1368;672;0
SANDRA ALMEIDA NUNES;22109925400;1369;172;0
APARECIDA CARVALHO RAMOS;35162409979;1370;869;0
ERIKA LUZ FERREIRA;12398115607;1371;445;0
NATALIA ROCHA NASCIMENTO;14000857991;1372;349;0
ALINE ANDRADE COSTA;48100230447;1373;493;0
ELIANE MONTEIRO GUERRA;82559140802;1374;258;0
PEDRO MOTA CORREIA;79092125008;1375;344;0
MARCELO CARVALHO DIAS;29708554103;1376;749;0
FELIPE ALVES PEREIRA;68796182946;1377;235;0
SILVANA ALVES VIEIRA;35474227361;1378;63;0
LUCIA OLIVEIRA ALMEIDA;12508589179;1379;342;0
RENATA FERREIRA DUARTE;82266412418;1380;394;1
FERNANDO GUERRA DIAS;46594359894;1381;298;0
BRUNO TEIXEIRA NUNES;77433217622;1382;755;0
ROSANGELA PIRES RIBEIRO;59037244505;1383;474;0
LIVIA DUARTE DUARTE;17296652764;1384;774;0
GABRIEL XAVIER ANDRADE;85885008922;1385;506;0
BIANCA GOMES MONTEIRO;60954219180;1386;844;0
BEATRIZ LUZ MONTEIRO;51136394354;1387;507;0
MIRIAM FONSECA FREITAS;01120165610;1388;786;0
BIANCA MARQUES CORREIA;42344227970;1389;816;0
RODRIGO MORAES ROCHA;11366026233;1390;523;0
MARTA GUERRA NOGUEIRA;23525599447;1391;642;0
ADRIANO ARAUJO GUERRA;74420723050;1392;555;0
MARIANA ROCHA MACHADO;78615855900;1393;744;0
JOSE NOGUEIRA DIAS;62941687831;1394;695;0
FABIO MENDES OLIVEIRA;78271514342;1395;113;0
ISABELA GUERRA NUNES;53763996052;1396;178;0
CARLA GOMES OLIVEIRA;29737511107;1397;155;0
ROBERTO CARVALHO RAMOS;03581777401;1398;106;0
KARINA BARBOSA DE PAULA;77008393520;1399;509;0
LUCIA PEREIRA NUNES;02221399277;1400;350;1
GISELE MEDEIROS PAIVA;83286498459;1401;728;0
ROSANA CAVALCANTI CARDOSO;76598295050;1402;725;0
NATALIA MOTA BARBOSA;21651983801;1403;621;0
FERNANDO FIGUEIREDO MACHADO;92916797203;1404;329;0
MARCELO MOTA COSTA;74381102738;1405;583;0
MARCELO ALMEIDA BORGES;55244232401;1406;325;0
FABIO CORREIA MARQUES;53102664377;1407;695;0
MARIA MEDEIROS LUZ;34723374949;1408;631;0
MIRIAM TEIXEIRA RAMOS;49547133152;1409;725;0
TATIANA PAIVA NOGUEIRA;29699084502;1410;430;0
RODRIGO CORREIA CAVALCANTI;91534404988;1411;110;0
SERGIO VIEIRA CORREIA;98980594607;1412;874;0
MIRIAM MENDES FREITAS;98557734468;1413;384;0
HELOISA MONTEIRO FERNANDES;70472977318;1414;672;0
ELIANE PINTO SOUSA;85122395063;1415;218;0
PRISCILA MACHADO ARAUJO;66078886401;1416;683;0
MARCIA FERNANDES CARVALHO;01319902685;1417;619;0
THIAGO COSTA OLIVEIRA;25271113191;1418;686;0
LARISSA LUZ MACHADO;38083211052;1419;504;0
CINTIA PIRES CORREIA;66759848705;1420;53;1
RAFAEL MENDES ARAUJO;12004355328;1421;252;0
FLAVIA RAMOS GOMES;19469279379;1422;160;0
LIVIA FIGUEIREDO FONSECA;82224867808;1423;734;0
SANDRA PEREIRA CAVALCANTI;49324987801;1424;780;0
MILENA ANDRADE DANTAS;70783173946;1425;791;0
NATHALIA BARBOSA ROCHA;74508210520;1426;394;0
TEREZA AMARAL NASCIMENTO;18954204155;1427;730;0
MARCOS MONTEIRO MORAES;34134203996;1428;289;0
NEUSA MELO PINTO;55510595531;1429;318;0
TEREZA TEIXEIRA DANTAS;34355499715;1430;578;0
THIAGO TEIXEIRA CARDOSO;91788722787;1431;687;0
TAMIRES PINTO SOUSA;09294202097;1432;221;0
SUELI ANDRADE SOUSA;28823808529;1433;210;0
BENEDITA MORAES FONSECA;98604853308;1434;918;0
APARECIDA AZEVEDO FERNANDES;81945138637;1435;501;0
GABRIEL NOGUEIRA XAVIER;77795922600;1436;681;0
GIOVANNA MARQUES GUERRA;99322551224;1437;859;0
GISELE DANTAS MOTA;82097274439;1438;143;0
ELISABETE RAMOS FONSECA;06900561500;1439;795;0
VIVIAN RODRIGUES SILVA;66624539518;1440;156;1
MARCIA DE PAULA CUNHA;69865481332;1441;218;0
SOLANGE CARVALHO RAMOS;64172604889;1442;292;0
JOAO MELO DUARTE;70951256351;1443;362;0
SANDRA MORAES FREITAS;85522005971;1444;804;0
MARCIA MORAES GOMES;21686533721;1445;161;0
SANDRA ALVES GOMES;37382387780;1446;780;0
NATALIA MORAES PEREIRA;04500041125;1447;912;0
VERA DIAS SOUZA;22090441119;1448;65;0
GABRIEL MEDEIROS DANTAS;84674265436;1449;393;0
LEANDRO MOTA ANDRADE;86848895768;1450;565;0
ERIKA LIMA FREITAS;29233414060;1451;73;0
HELOISA LOPES VIEIRA;34103852313;1452;417;0
SOLANGE VASCONCELOS FERREIRA;44177258709;1453;809;0
MONICA BARBOSA VASCONCELOS;57647676440;1454;214;0
PEDRO DUARTE PIRES;96428413205;1455;798;0
TATIANA NUNES AMARAL;91525984381;1456;332;0
MONICA CARVALHO NASCIMENTO;72165330114;1457;132;0
LIVIA LOPES BORGES;11573059897;1458;160;0
BEATRIZ ALVES FERNANDES;40181505126;1459;297;0
ELIANE GUERRA COSTA;78226754437;1460;875;1
TEREZA CORREIA LUZ;84489238550;1461;519;0
PEDRO DANTAS FERNANDES;62584925338;1462;698;0
LARISSA GOMES VIEIRA;27303739858;1463;73;0
NATHALIA MONTEIRO CAMPOS;65528259193;1464;390;0
LEANDRO ANDRADE ALVES;77571272890;1465;125;0
CINTIA PIRES CAVALCANTI;21816387568;1466;567;0
BIANCA MENDES MENDES;81222604540;1467;304;0
BENEDITA MORAES BORGES;39825694351;1468;547;0
LIVIA NUNES PINTO;08450038529;1469;634;0
GABRIEL DANTAS CUNHA;94074725584;1470;705;0
LARISSA CARVALHO MACHADO;39100461695;1471;491;0
LEANDRO GOMES BASTOS;03864591856;1472;193;0
FABIO ARAUJO CAVALCANTI;18381635578;1473;202;0
FERNANDA BRAGA NASCIMENTO;63515161538;1474;493;0
SILVANA MACHADO RIBEIRO;08544221297;1475;405;0
RENATA GOMES SILVA;85327019306;1476;239;0
ALICE ALVES MEDEIROS;50964294664;1477;126;0
FERNANDA TEIXEIRA MONTEIRO;22107012792;1478;282;0
MONICA AMARAL RIBEIRO;94643715952;1479;466;0
JULIANA NASCIMENTO ALVES;17204626230;1480;788;1
AMANDA RIBEIRO VIEIRA;14959001348;1481;894;0
VERA VASCONCELOS FONSECA;41867487640;1482;292;0
CINTIA NUNES RAMOS;89552298105;1483;590;0
PRISCILA SOUZA BRAGA;56911552109;1484;254;0
ALINE DE PAULA FERREIRA;23243051860;1485;757;0
